YM,state,rev,rnk
2018-07,RO,5249.380000000001,21
2018-07,AL,4825.2,22
2018-07,TO,3795.0899999999997,23
2018-07,AM,2598.4100000000003,24
2018-07,RR,1960.59,25
2018-07,AC,1769.95,26
2018-07,AP,1613.63,27
2018-08,SP,450984.65999999916,1
2018-08,MG,114031.81000000014,2
2018-08,RJ,112570.83000000002,3
2018-08,RS,52001.270000000004,4
2018-08,PR,46900.50000000002,5
2018-08,SC,38389.200000000004,6
2018-08,BA,26896.020000000004,7
2018-08,DF,23497.260000000002,8
2018-08,GO,21204.649999999998,9
2018-08,ES,19431.450000000008,10
2018-08,PE,15478.290000000003,11
2018-08,CE,11881.569999999998,12
2018-08,PA,10965.900000000001,13
2018-08,PB,9237.03,14
2018-08,MS,6551.9400000000005,15
2018-08,RN,5993.749999999999,16
2018-08,MT,5783.76,17
2018-08,SE,5600.789999999999,18
2018-08,MA,5325.360000000001,19
2018-08,PI,3979.8399999999997,20
2018-08,RO,3236.6299999999997,21
2018-08,AL,2913.7099999999996,22
2018-08,TO,2665.51,23
2018-08,AC,604.52,24
2018-08,AM,512.5,25
2018-08,AP,257.4,26
2018-09,SP,166.46,1
