"restaurant name",city,"average cost for two",cost_rnk
"Moets Stone","New Delhi",2000,301
"Qash Retro Bar","New Delhi",2000,302
"The Cocktail House","New Delhi",2000,303
"Side Wok","New Delhi",2000,304
"The Laidback Cafe","New Delhi",2000,305
Tashan,"New Delhi",2000,306
Baris,"New Delhi",2000,307
Raasta,"New Delhi",2000,308
"Cafe on 3 - Holiday Inn","New Delhi",2000,309
"Chor Bizarre - Hotel Broadway","New Delhi",2000,310
"Opium Bar - Hotel City Park","New Delhi",2000,311
"Royal Brewery Bistro","New Delhi",2000,312
"Ira - The Waterside Bar - ITC Maurya","New Delhi",2000,313
"Gulnar - Hotel Janpath","New Delhi",2000,314
"Tourist Janpath","New Delhi",2000,315
Zaffran,"New Delhi",2000,316
"Boombox Cafe","New Delhi",2000,317
"Latitude 28","New Delhi",2000,318
"Side Wok","New Delhi",2000,319
"Wok  In The Clouds","New Delhi",2000,320
Parallel,"New Delhi",2000,321
"Perch Wine & Coffee Bar","New Delhi",2000,322
"Henri's Bar - Le Meridien","New Delhi",2000,323
"Longitude - Le Meridien","New Delhi",2000,324
"Elma's Brasserie","New Delhi",2000,325
"Diva Spiced","New Delhi",2000,326
"The Cavalry Bar - Maidens Hotel","New Delhi",2000,327
"The Epicure - Fraser Suites","New Delhi",2000,328
Buzz,"New Delhi",2000,329
"Aces - The Card Room","New Delhi",2000,330
"London Eye - The Open Lounge","New Delhi",2000,331
"Lord's - The Sports Lounge","New Delhi",2000,332
"Spaghetti Kitchen","New Delhi",2000,333
"Zune - Piccadily Hotel","New Delhi",2000,334
"Linx - Premier Inn","New Delhi",2000,335
"Cup Cakes - Radisson Blu","New Delhi",2000,336
"The California Boulevard","New Delhi",2000,337
"Marine Drivve - Club & Courtyard","New Delhi",2000,338
Sufiaana,"New Delhi",2000,339
"Dirty Apron","New Delhi",2000,340
"Cafe Diva","New Delhi",2000,341
"Cafe Delhi Heights","New Delhi",2000,342
"Pa Pa Ya","New Delhi",2000,343
"Andrea's Eatery","New Delhi",2000,344
"Mister Chai - Shangri-La's - Eros Hotel","New Delhi",2000,345
"F Marquee","New Delhi",2000,346
"The Claridges Garden -The Claridges","New Delhi",2000,347
"1911 Bar - The Imperial","New Delhi",2000,348
"The Lobby Lounge - The Leela Palace","New Delhi",2000,349
"Capital Kitchen - Taj Palace Hotel","New Delhi",2000,350
"Perch Wine & Coffee Bar","New Delhi",2000,351
"Americana Kitchen and Bar",Noida,2000,352
"Fortune Deli -  Fortune Inn Grazia",Noida,2000,353
"The Smoke Factory",Noida,2000,354
Airborne,Noida,2000,355
"Matrix - Jaypee Greens",Noida,2000,356
"Malt n Brew",Noida,2000,357
"New Town Lounge - Park Plaza",Noida,2000,358
"Punjabi By Nature",Noida,2000,359
"RPM - Zanzi Bar",Noida,2000,360
"Eden Kitchen & Bar",Noida,2000,361
"Hops n Grains",Panchkula,2000,362
"Effingut Brewerkz",Pune,2000,363
"Waterfront - Radisson Blu",Ranchi,2000,364
"Chinese Dragon Cafe",Colombo,2000,365
"The Paddington",Colombo,2000,366
"Queen's Cafe",Colombo,2000,367
"Cafe Beverly",Colombo,2000,368
"Punjab Grill","New Delhi",1950,369
"Hobnob Gourmet Caf刺bar",Indore,1950,370
"World Cafe - Vibe by The LaLiT Traveller",Faridabad,1900,371
"Bar Code - Leisure Inn",Gurgaon,1900,372
"Jonathan's Kitchen - Holiday Inn Express & Suites",Hyderabad,1900,373
"The Irish House",Kolkata,1900,374
HotMess,"New Delhi",1900,375
"G Lounge","New Delhi",1900,376
"Sakley's The Mountain Cafe","New Delhi",1900,377
Kabooze,"New Delhi",1900,378
Paparazzi,"New Delhi",1900,379
"Garage Inc.","New Delhi",1900,380
"Elma's Bakery, Bar, and Kitchen","New Delhi",1900,381
"Fresc Co","New Delhi",1900,382
"Urban Hub","New Delhi",1900,383
"Americana Kitchen and Bar","New Delhi",1900,384
"World Art Dining - Brew House","New Delhi",1900,385
"Turquoise Cottage - TC Original 1997",Noida,1900,386
"Power Play Resto Bar",Gurgaon,1850,387
"Bottles and Barrels",Gurgaon,1850,388
"Summer House Cafe","New Delhi",1850,389
"The Food Hall by Todd English","Taguig City",1800,390
"Patang - The Revolving Restaurant",Ahmedabad,1800,391
